"go_id","go_label"
"GO:0099565","postsynaptic process involved in chemical synaptic transmission (GO:0099565) [BP]"
"GO:0099566","regulation of postsynaptic cytosolic calcium levels (GO:0099566) [BP]"
"GO:0099567","calcium ion binding involved in regulation of postsynaptic cytosolic calcium levels (GO:0099567) [BP]"
"GO:0099574","regulation of protein catabolic process at synapse, modulating synaptic transmission (GO:0099574) [BP]"
"GO:0099575","regulation of protein catabolic process at presynapse, modulating synaptic transmission (GO:0099575) [BP]"
"GO:0099576","regulation of protein catabolic process at postsynapse, modulating synaptic transmission (GO:0099576) [BP]"
"GO:0099577","regulation of translation at presynapse, modulating synaptic transmission (GO:0099577) [BP]"
"GO:0099578","regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578) [BP]"
"GO:0099579","G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099579) [BP]"
"GO:0099626","voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626) [BP]"
"GO:0099639","neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639) [BP]"
"GO:0099641","anterograde axonal protein transport (GO:0099641) [BP]"
"GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645) [BP]"
"GO:0140231","anterograde axonal transport of neurotransmitter receptor complex (GO:0140231) [BP]"
"GO:0140232","intracellular cAMP-activated cation channel activity involved in regulation of presynaptic membrane potential (GO:0140232) [BP]"
"GO:0140235","RNA polyadenylation at postsynapse (GO:0140235) [BP]"
"GO:0140236","translation at presynapse (GO:0140236) [BP]"
"GO:0140238","presynaptic endocytosis (GO:0140238) [BP]"
"GO:0140239","postsynaptic endocytosis (GO:0140239) [BP]"
"GO:0140242","translation at postsynapse (GO:0140242) [BP]"
"GO:0140245","regulation of translation at postsynapse (GO:0140245) [BP]"
"GO:0140247","protein catabolic process at presynapse (GO:0140247) [BP]"
"GO:0140249","protein catabolic process at postsynapse (GO:0140249) [BP]"
"GO:0140251","regulation protein catabolic process at presynapse (GO:0140251) [BP]"
"GO:0140252","regulation protein catabolic process at postsynapse (GO:0140252) [BP]"
"GO:0150035","regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0150035) [BP]"
"GO:0150036","regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0150036) [BP]"
"GO:0150037","regulation of calcium-dependent activation of synaptic vesicle fusion (GO:0150037) [BP]"
"GO:0150038","postsynaptic dense core vesicle exocytosis (GO:0150038) [BP]"
"GO:0150043","structural constituent of synapse-associated extracellular matrix (GO:0150043) [BP]"
"GO:0150044","regulation of postsynaptic dense core vesicle exocytosis (GO:0150044) [BP]"
"GO:0150045","regulation of synaptic signaling by nitric oxide (GO:0150045) [BP]"
"GO:0150047","G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential (GO:0150047) [BP]"
"GO:0150052","regulation of postsynapse assembly (GO:0150052) [BP]"
"GO:0150054","regulation of postsynaptic neurotransmitter receptor diffusion trapping (GO:0150054) [BP]"
"GO:1900242","regulation of synaptic vesicle endocytosis (GO:1900242) [BP]"
"GO:1901546","regulation of proton loading (GO:1901546) [BP]"
"GO:1903742","regulation of anterograde synaptic vesicle transport (GO:1903742) [BP]"
"GO:1904315","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315) [BP]"
"GO:1905030","voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030) [BP]"
"GO:1905056","ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of presynaptic cytosolic calcium levels (GO:1905056) [BP]"
"GO:1905059","ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of postsynaptic cytosolic calcium levels (GO:1905059) [BP]"
"GO:1905060","calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion levels (GO:1905060) [BP]"
"GO:1905274","regulation of modification of postsynaptic actin cytoskeleton (GO:1905274) [BP]"
"GO:1905539","regulation of postsynapse to nucleus signaling pathway (GO:1905539) [BP]"
"GO:1905606","regulation of presynapse assembly (GO:1905606) [BP]"
"GO:1905806","regulation of synapse disassembly (GO:1905806) [BP]"
"GO:2000300","regulation of synaptic vesicle exocytosis (GO:2000300) [BP]"
"SYNGO:metabolism","metabolism [BP]"
"SYNGO:postsyn_ATPmetabolic","ATP metabolic process in the postsynapse [BP]"
"SYNGO:presyn_chaperoneProteinFolding","presynaptic protein folding [BP]"
"SYNGO:presyn_regulationATPmetabolic","regulation of ATP metabolic process in the presynapse [BP]"
"SYNGO:transport","transport [BP]"
"GO:0008021","synaptic vesicle (GO:0008021) [CC]"
"GO:0014069","postsynaptic density (GO:0014069) [CC]"
"GO:0030285","integral component of synaptic vesicle membrane (GO:0030285) [CC]"
"GO:0030672","synaptic vesicle membrane (GO:0030672) [CC]"
"GO:0034592","synaptic vesicle lumen (GO:0034592) [CC]"
"GO:0042734","presynaptic membrane (GO:0042734) [CC]"
"GO:0043083","synaptic cleft (GO:0043083) [CC]"
"GO:0045202","synapse (GO:0045202) [CC]"
"GO:0045211","postsynaptic membrane (GO:0045211) [CC]"
"GO:0048786","presynaptic active zone (GO:0048786) [CC]"
"GO:0048787","presynaptic active zone membrane (GO:0048787) [CC]"
"GO:0097060","synaptic membrane (GO:0097060) [CC]"
"GO:0097444","spine apparatus (GO:0097444) [CC]"
"GO:0098674","extrinsic component of neuronal dense core vesicle membrane (GO:0098674) [CC]"
"GO:0098793","presynapse (GO:0098793) [CC]"
"GO:0098794","postsynapse (GO:0098794) [CC]"
"GO:0098830","presynaptic endosome (GO:0098830) [CC]"
"GO:0098831","presynaptic active zone cytoplasmic component (GO:0098831) [CC]"
"GO:0098833","presynaptic endocytic zone (GO:0098833) [CC]"
"GO:0098835","presynaptic endocytic zone membrane (GO:0098835) [CC]"
"GO:0098837","postsynaptic recycling endosome (GO:0098837) [CC]"
"GO:0098839","postsynaptic density membrane (GO:0098839) [CC]"
"GO:0098842","postsynaptic early endosome (GO:0098842) [CC]"
