"go_id","hgnc_symbol"
"GO:0099151","PTPRS"
"GO:0099151","SIPA1L1"
"GO:0099152","ARHGAP44"
"GO:0099152","GRIPAP1"
"GO:0099157","WLS"
"GO:0099158","GRIPAP1"
"GO:0099158","MYO5B"
"GO:0099159","AGAP1"
"GO:0099159","ANK3"
"GO:0099159","CAMKV"
"GO:0099159","CD44"
"GO:0099159","CDC42"
"GO:0099159","CHMP2B"
"GO:0099159","EGLN1"
"GO:0099159","GSK3B"
"GO:0099159","MRTFA"
"GO:0099159","MRTFB"
"GO:0099159","MYO5B"
"GO:0099159","NF1"
"GO:0099159","PDXP"
"GO:0099159","PHACTR1"
"GO:0099159","RAPGEF2"
"GO:0099159","RHOA"
"GO:0099159","RHOB"
"GO:0099159","SNX17"
"GO:0099159","STRN"
"GO:0099159","STRN4"
"GO:0099159","ZNF804A"
"GO:0099161","EVI5;EVI5L"
"GO:0099161","P2RX7"
"GO:0099161","PRKCE"
"GO:0099161","PTPN23"
"GO:0099161","RAB11B"
"GO:0099161","RAB3A"
"GO:0099161","STXBP5"
"GO:0099161","TBC1D2;TBC1D2B"
"GO:0099161","UNC13B"
"GO:0099162","GAPDH"
"GO:0099162","SLC10A4"
"GO:0099163","NOS1"
"GO:0099170","ATG5"
"GO:0099170","BRAF"
"GO:0099170","CAMK4"
"GO:0099170","CHRM1"
"GO:0099170","CLMP"
"GO:0099170","DCC"
"GO:0099170","DRD1"
"GO:0099170","DRD2"
"GO:0099170","GHRL"
"GO:0099170","GHSR"
"GO:0099170","GNAO1"
"GO:0099170","GRM3"
"GO:0099170","IGF1"
"GO:0099170","IGF1R"
"GO:0099170","INA"
"GO:0099170","IQSEC1"
"GO:0099170","NEFH"
"GO:0099170","NEFL"
"GO:0099170","NGDN"
"GO:0099170","NRGN"
"GO:0099170","PLCB1"
"GO:0099170","PPP3CA"
"GO:0099170","PPP3R1"
"GO:0099170","PRKACA"
"GO:0099170","PTK2B"
"GO:0099170","RASGRF1"
"GO:0099170","RASGRF2"
"GO:0099170","SLC1A1"
"GO:0099170","SNX14"
"GO:0099170","SORCS3"
"GO:0099170","SYNPO"
"GO:0099170","TENT2"
"GO:0099170","TRIO"
"GO:0099170","WNT5A"
"GO:0099171","ABCC8"
"GO:0099171","ADCY1"
"GO:0099171","ADORA2A"
"GO:0099171","ADORA2B"
"GO:0099171","ADORA3"
"GO:0099171","ADRA1A"
"GO:0099171","ADRA2A"
"GO:0099171","ADRB2"
"GO:0099171","APBA1"
"GO:0099171","APBA2"
"GO:0099171","BACE1"
"GO:0099171","CHRM2"
"GO:0099171","CHRNA3"
"GO:0099171","CHRNA4"
"GO:0099171","CHRNA5"
"GO:0099171","CHRNA6"
"GO:0099171","CHRNA7"
"GO:0099171","CHRNB2"
"GO:0099171","CHRNB3"
"GO:0099171","CYTH1"
"GO:0099171","DGKI"
"GO:0099171","DRD1"
"GO:0099171","DRD2"
"GO:0099171","DRD4"
"GO:0099171","GIPC1"
"GO:0099171","GLRA3"
"GO:0099171","GRIN3A"
"GO:0099171","GRM2"
"GO:0099171","GRM4"
"GO:0099171","GRM7"
"GO:0099171","GRM8"
"GO:0099171","GSK3B"
"GO:0099171","HIP1"
"GO:0099171","HTR1A"
"GO:0099171","HTR1B"
"GO:0099171","HTR2A"
"GO:0099171","HTR7"
"GO:0099171","LAMP5"
"GO:0099171","MYO6"
"GO:0099171","NGFR"
"GO:0099171","NR3C2"
"GO:0099171","NRN1"
"GO:0099171","NRXN2"
"GO:0099171","NRXN3"
"GO:0099171","OPRM1"
"GO:0099171","PFN2"
